범죄대분류,범죄중분류,범죄소분류,발생,검거,발생건수 대비 검거건수,검거인원(계),검거인원(남),검거인원(여),불상,법인체
기타범죄,기타범죄,여객자동차운수사업법,396,352,88.9,421,405,15,1,23
기타범죄,기타범죄,여권법,13,11,84.6,27,17,9,1,-
기타범죄,기타범죄,영해및접속수역법,-,-,-,-,-,-,-,-
기타범죄,기타범죄,영화및비디오물의진흥에관한법률,11,13,118.2,15,10,4,1,3
기타범죄,기타범죄,옥외광고물법위반,162,114,70.4,177,129,19,29,17
기타범죄,기타범죄,위증죄,595,403,67.7,670,480,180,10,-
기타범죄,기타범죄,위치정보의보호및이용등에관한법률,9,9,100,50,28,22,-,-
기타범죄,기타범죄,유기와학대의죄,100,17,17,21,7,14,-,-
기타범죄,기타범죄,유선및도선사업법,-,-,-,-,-,-,-,1
기타범죄,기타범죄,음반·비디오물및게임물에관한법률,-,-,-,-,-,-,-,-
기타범죄,기타범죄,음악산업진흥에관한법률,"1,364","1,358",99.6,"2,390",575,"1,778",37,-
기타범죄,기타범죄,인질강요·살해·상해,1,1,100,1,1,-,-,-
기타범죄,기타범죄,일수와수리에관한죄,-,-,-,-,-,-,-,-
기타범죄,기타범죄,자동차관리법,"4,471","4,301",96.2,"5,281","4,811",377,93,95
기타범죄,기타범죄,자동차손해배상보장법,"1,623","1,589",97.9,"1,772","1,644",115,13,-
기타범죄,기타범죄,자연공원법,9,7,77.8,8,7,1,-,-
기타범죄,기타범죄,장물에관한죄,471,380,80.7,774,669,88,17,-
기타범죄,기타범죄,장사등에관한법률,-,-,-,2,-,1,1,-
기타범죄,기타범죄,재난및안전관리기본법,2,2,100,2,2,-,-,-
기타범죄,기타범죄,전기통신기본법,48,50,104.2,164,151,8,5,12
기타범죄,기타범죄,전파법,7,7,100,32,24,7,1,3
기타범죄,기타범죄,정보통신망이용촉진및정보보호등에관한법률위반(개인정보누설등),15,10,66.7,36,24,7,5,5
기타범죄,기타범죄,정보통신망이용촉진및정보보호등에관한법률위반(명예훼손),"1,830","1,111",60.7,"2,762","1,119",762,881,4
기타범죄,기타범죄,정보통신망이용촉진및정보보호등에관한법률위반(정보통신망침해등),469,132,28.1,510,187,25,298,8
기타범죄,기타범죄,정보통신망이용촉진및정보보호등에관한법률위반(기타),"1,092",450,41.2,862,419,183,260,13
기타범죄,기타범죄,주거침입의죄,"2,564","2,018",78.7,"2,503","1,967",493,43,-
기타범죄,기타범죄,주민등록법,559,362,64.8,702,276,257,169,-
기타범죄,기타범죄,주차장법,185,170,91.9,270,168,101,1,4
기타범죄,기타범죄,집회및시위에관한법률,382,312,81.7,568,426,124,18,-
기타범죄,기타범죄,채무자회생및파산에관한법률위반,34,27,79.4,46,28,18,-,-
기타범죄,기타범죄,철도안전법,38,38,100,42,40,2,-,-
기타범죄,기타범죄,청소년보호법,"1,438","1,418",98.6,"1,863",970,875,18,7
기타범죄,기타범죄,총포·도검·화약류등의안전관리에관한법률,394,453,115,500,474,26,-,5
기타범죄,기타범죄,축산물위생관리법,49,56,114.3,93,80,13,-,7
기타범죄,기타범죄,출입국관리법,225,217,96.4,455,321,127,7,18
기타범죄,기타범죄,통신비밀보호법,32,28,87.5,47,23,16,8,-
기타범죄,기타범죄,특가법(무고),-,-,-,-,-,-,-,-
기타범죄,기타범죄,특가법(장물),-,-,-,-,-,-,-,-
기타범죄,기타범죄,특경법(보고의무),-,-,-,-,-,-,-,-
기타범죄,기타범죄,폭력행위등처벌에관한법률위반(기타),-,-,-,-,-,-,-,-
기타범죄,기타범죄,하수도법,6,5,83.3,8,6,-,2,1
기타범죄,기타범죄,하천법,3,3,100,5,5,-,-,2
기타범죄,기타범죄,학원의설립·운영및과외교섭에관한법률,88,88,100,105,55,50,-,-
기타범죄,기타범죄,항만운송사업법,-,-,-,-,-,-,-,-
기타범죄,기타범죄,"허위감정,증거인멸·은닉,증인은닉죄",25,19,76,41,32,7,2,-
기타범죄,기타범죄,형사소송법,-,-,-,-,-,-,-,-
기타범죄,기타범죄,형의실효등에관한법률,-,-,-,-,-,-,-,-
기타범죄,기타범죄,화물자동차운수사업법,547,522,95.4,617,587,29,1,22
기타범죄,기타범죄,기타,"2,278","1,921",84.3,"4,568","3,037",870,661,290
