606,휘경공고앞,겸재로 21,동대문구,53,궁동근린공원,02-330-1961,서울특별시 서대문구 성산로7길 19-24(궁동공원) ,서대문구,37.5849213,127.0695589
607,신이문역 2번출구,이문동186-1,동대문구,54,궁산근린공원,02-2600-4185,서울특별시 강서구 가양동 산4-7,강서구,37.6026466,127.0679724
608,전농삼성아파트,전농로 192,동대문구,55,까치산근린공원,02-820-1396,서울특별시 동작구 사당동 산32,동작구,37.5818725,127.0555328
609,제기2교,제기동122-388,동대문구,56,꿩고개근린공원,02-2600-4186,서울특별시 강서구 방화동 산110,강서구,37.5885784,127.0376167
610,동대문중 교차로,답십리동 524-1,동대문구,57,노량진공원,02-820-9845,서울특별시 동작구 여의대방로 15-45(여의대방로36길 71),동작구,37.5696238,127.0490199
612,시립동부병원 앞 사거리,용두동 237-10 ,동대문구,58,답십리근린공원,02-2127-4398,서울특별시 동대문구 답십리로 209(답십리공원) ,동대문구,37.5744344,127.0306293
613,신설동역 10번출구 앞,신설동 92-34,동대문구,59,대모산도시자연공원,02-3423-6283,서울특별시 강남구 광평로10길 30-71(대모산공원) ,강남구,37.5737553,127.0271581
614,용두동 사거리,용두동 237-10,동대문구,60,탑골근린공원,02-2148-2843,서울특별시 종로구 종로 99,종로구,37.5744344,127.0306293
615,용두동 레미안허브 리츠아파트 앞,용두동 696-13 ,동대문구,61,갈산근린공원,02-2620-3574,서울특별시 양천구 신정동 162-56,양천구,37.5760457,127.0349512
616,시립대 앞,전농동 135-5,동대문구,65,천마근린공원,02-400-0978,서울특별시 송파구 마천동 산 1-1,송파구,37.5824976,127.0541481
617,청솔우성아파트 앞,답십리동 94-2 ,동대문구,66,도곡근린공원,02-3423-6248,서울특별시 강남구 도곡동 산31-1,강남구,37.5741449,127.0575277
621,동대문중학교 옆,사가정로 66,동대문구,68,도산근린공원,02-3423-6244,서울특별시 강남구 도산대로45길 20(도산공원),강남구,37.574489,127.0542426
622,전농사거리 교통섬,전농동 25-2,동대문구,69,청량공원,02-2241-3683,서울특별시 성북구 화랑로18가길 50,성북구,37.5766183,127.0578724
623,서울시립대 정문 앞, 전농동 150-15 ,동대문구,70,초안산근린공원,02-2091-3754,서울특별시 도봉구 창동 산157,도봉구,37.5836756,127.0539724
624,전농동 동아아파트 앞,서울시립대로 31,동대문구,71,동명근린공원,02-3425-6444,서울특별시 강동구 고덕2동 229,강동구,37.5748739,127.0458603
625,답십리초등학교 앞,답십리동 266-2,동대문구,72,마로니에공원,02-2148-4158,서울특별시 종로구 대학로8길 1,종로구,37.5684211,127.0570225
626,군자교녹지대 동측 앞,장안동 480-11 ,동대문구,73,자매근린공원,02-2670-3758,서울특별시 영등포구 의사당대로 166 (우) 07324,영등포구,37.5612982,127.070756
627,장안동삼거리 교통섬,장안동 469-2,동대문구,75,장지근린공원,02-400-0978,서울특별시 송파구 장지동 산 11번지,송파구,37.5786253,127.0719038
628,휘봉고등학교 앞,휘경동 43-278 ,동대문구,76,명일근린공원,02-3425-6444,서울특별시 강동구 상일동 135,강동구,37.5853142,127.0672805
630,동대문구 보건소,천호대로 145,동대문구,80,방화근린공원,02-2600-4186,서울특별시 강서구 금낭화로 176(방화공원),강서구,37.5742015,127.0398327
631,답십리역 1번출구,천호대로 265,동대문구,81,아시아근린공원,02-412-0270,서울특별시 송파구 올림픽로 44 (잠실동),송파구,37.568254,127.0513523
633,청량리 기업은행 앞,홍릉로 1,동대문구,82,배봉산근린공원,02-2127-4398,서울특별시 동대문구 한천로43길 12-14(배봉산공원) ,동대문구,37.5804857,127.0444312
634,외국어대 정문 앞,이문동 288-3,동대문구,83,안산도시자연공원,02-330-1958,서울특별시 서대문구 홍제동 산33-98,서대문구,37.5965952,127.0603486
635,시조사 앞 (청량고정문 옆),청량리동 1-2 ,동대문구,85,염창근린공원,02-2600-4186,서울특별시 강서구 염창동 산24-1,강서구,37.5876034,127.0529852
636,세종대왕기념관 교차로,청량리동 산 1-215,동대문구,86,백련근린공원,02-330-1776,서울특별시 서대문구 통일로 507-22(백련공원) ,서대문구,37.5902018,127.0422349
637,KAIST 경영대학 앞,청량리동 산1-135 ,동대문구,87,오금근린공원,02-400-0978,서울특별시 송파구 오금로 363 오금근린공원 ,송파구,37.5916386,127.0456441
638,서울시립대 정보기술관,서울시립대로 163,동대문구,89,오동근린공원,02-901-6923,서울특별시 강북구 번동 산20-1,강북구,37.583383,127.0593032
639,서울시립대 후문,서울시립대로 163,동대문구,90,봉산도시자연공원,02-351-8003,서울특별시 은평구 구산동 산61,은평구,37.583383,127.0593032
640,KEB하나은행 청량리역지점,홍릉로 28,동대문구,91,온수도시자연공원,02-860-2396,서울특별시 구로구 개봉동 산2-60,구로구,37.5827952,127.0446701
641,용두역 4번출구,동대문구 용두동 47-1 ,동대문구,92,봉은공원,02-2104-1902,서울특별시 강남구 삼성동 75,강남구,37.5738576,127.0379896
642,신답역 빵굼터 앞,천호대로 231,동대문구,93,올림픽공원,02-410-1114,서울특별시 송파구 올림픽로 424 (방이동),송파구,37.5703758,127.0484172
643,동대문구민체육센터,장한로18길 82-9,동대문구,94,와룡근린공원,02-2148-4150,서울특별시 종로구 와룡공원길 192 (우) 03063,종로구,37.5672313,127.0732473
101,합정동 주민센터,마포구 합정동 444-12,마포구,95,봉화산근린공원,02-435-0069,서울특별시 중랑구 묵동 산46-1,중랑구,37.5503324,126.9060488
