Gangnam-gu,71
Gangdong-gu,42
Dobong-gu,19
Dongdaemun-gu,39
Dongjak-gu,28
Eunpyeong-gu,46
Gangbuk-gu,31
Gangseo-gu,49
Geumcheon-gu,38
Guro-gu,51
Gwanak-gu,42
Gwangjin-gu,45
Gangnam-gu,71
Jongno-gu,51
Jung-gu,34
Jungnang-gu,45
Mapo-gu,70
Nowon-gu,47
Seocho-gu,73
Seodaemun-gu,46
Seongbuk-gu,41
Seongdong-gu,56
Songpa-gu,59
Yangcheon-gu,37
Yeongdeungpo-gu,74
Yongsan-gu,29
