ahn,hong,moon,pop,광역시도_x,시군,ID,rate_moon,rate_hong,rate_ahn,x,y,광역시도_y,시도,moon_vs_hong,moon_vs_ahn,ahn_vs_hong
1939.0,11651.0,2251.0,17627.0,경상북도,군위군,군위,12.770182106994952,66.09746411754695,11.000170193453226,10,11,경상북도,군위군,-53.327282010552,1.770011913541726,-55.09729392409372
4767.0,23790.0,5365.0,37855.0,경상북도,의성군,의성,14.172500330207372,62.84506670188878,12.592788271034209,11,11,경상북도,의성군,-48.67256637168141,1.579712059173163,-50.252278430854574
2387.0,10669.0,3218.0,18418.0,경상북도,청송군,청송,17.472038223477032,57.92702790748181,12.96014768161581,11,10,경상북도,청송군,-40.45498968400477,4.511890541861222,-44.966880225866
1701.0,6554.0,2281.0,12048.0,경상북도,영양군,영양,18.932602921646748,54.39907038512616,14.118525896414344,11,9,경상북도,영양군,-35.46646746347941,4.814077025232404,-40.28054448871181
3231.0,16314.0,3786.0,26125.0,경상북도,영덕군,영덕,14.491866028708134,62.44593301435407,12.367464114832535,11,7,경상북도,영덕군,-47.95406698564594,2.1244019138756,-50.07846889952153
3370.0,12536.0,4209.0,22947.0,경상북도,봉화군,봉화,18.3422669630017,54.63023488909226,14.68601560116791,11,8,경상북도,봉화군,-36.28796792609056,3.656251361833789,-39.94421928792435
4476.0,16867.0,6972.0,32568.0,경상북도,울진군,울진,21.407516580692704,51.79010071235569,13.74355195283714,11,6,경상북도,울진군,-30.382584131662984,7.663964627855563,-38.046548759518544
22830.0,56887.0,60757.0,164047.0,경상남도,창원시의창구,창원 의창,37.03633714728096,34.677257127530524,13.916743372326223,6,20,경상남도,의창구,2.3590800197504365,23.119593774954737,-20.7605137552043
22923.0,42052.0,63717.0,153327.0,경상남도,창원시성산구,창원 성산,41.556281672503864,27.426350218813383,14.950400125222563,7,20,경상남도,성산구,14.129931453690482,26.6058815472813,-12.47595009359082
14686.0,54488.0,35592.0,119281.0,경상남도,창원시마산합포구,창원 합포,29.838784047752785,45.68036820616862,12.312103352587588,8,19,경상남도,마산합포구,-15.841584158415838,17.526680695165197,-33.36826485358104
17744.0,56340.0,45014.0,136757.0,경상남도,창원시마산회원구,창원 회원,32.915316949041,41.19715992600013,12.974838582302917,7,21,경상남도,마산회원구,-8.281842976959133,19.940478366738084,-28.222321343697217
17435.0,40049.0,41249.0,114779.0,경상남도,창원시진해구,창원 진해,35.93775864923026,34.89227123428502,15.19006089964192,8,20,경상남도,진해구,1.0454874149452422,20.74769774958834,-19.702210334643098
26687.0,93751.0,73929.0,222813.0,경상남도,진주시,진주,33.17984139166027,42.076090712839914,11.97730832581582,6,18,경상남도,진주시,-8.896249321179646,21.20253306584445,-30.098782387024094
10738.0,36128.0,25477.0,82855.0,경상남도,통영시,통영,30.7488986784141,43.6038863074045,12.959990344577877,8,21,경상남도,통영시,-12.8549876289904,17.788908333836225,-30.643895962826626
4104.0,16797.0,9848.0,34603.0,경상남도,고성군,고성(경남),28.45996011906482,48.54203392769413,11.86024333150305,7,22,경상남도,고성군,-20.082073808629307,16.59971678756177,-36.68179059619108
8350.0,32475.0,22370.0,71555.0,경상남도,사천시,사천,31.262665082803437,45.384669135629935,11.669345258891761,6,21,경상남도,사천시,-14.122004052826497,19.593319823911678,-33.715323876738175
45126.0,82880.0,147972.0,318253.0,경상남도,김해시,김해,46.49508409975711,26.042173993646568,14.179285034233772,9,20,경상남도,김해시,20.45291010611054,32.315799065523336,-11.862888959412796
9073.0,32394.0,20842.0,70687.0,경상남도,밀양시,밀양,29.484912360122795,45.82737985768246,12.835457722070537,8,17,경상남도,밀양시,-16.342467497559664,16.64945463805226,-32.99192213561192
20359.0,38775.0,68291.0,150230.0,경상남도,거제시,거제,45.457631631498366,25.810424016508023,13.551887106436796,8,22,경상남도,거제시,19.647207614990343,31.90574452506157,-12.258536910071227
1984.0,10134.0,5115.0,19258.0,경상남도,의령군,의령,26.560390487070308,52.622286841831965,10.30221206771212,7,18,경상남도,의령군,-26.061896354761657,16.258178419358188,-42.320074774119846
5399.0,19809.0,13597.0,43866.0,경상남도,함안군,함안,30.99667168194046,45.1579811243332,12.307937810605024,6,19,경상남도,함안군,-14.161309442392739,18.688733871335437,-32.85004331372817
3877.0,24464.0,10310.0,42878.0,경상남도,창녕군,창녕,24.044964783805213,57.05489994869164,9.041932925976024,7,17,경상남도,창녕군,-33.00993516488643,15.003031857829189,-48.012967022715614
30945.0,58811.0,83412.0,199835.0,경상남도,양산시,양산,41.74043585958416,29.429779568143722,15.485275352165537,7,19,경상남도,양산시,12.310656291440438,26.255160507418623,-13.944504215978185
4150.0,14864.0,11211.0,34324.0,경상남도,하동군,하동,32.66227712387833,43.30497611001049,12.090665423610302,5,20,경상남도,하동군,-10.64269898613216,20.57161170026803,-31.21431068640019
3906.0,14166.0,8680.0,30208.0,경상남도,남해군,남해,28.73411016949153,46.89486228813559,12.930349576271185,6,22,경상남도,남해군,-18.160752118644062,15.803760593220344,-33.96451271186441
3203.0,13008.0,7388.0,26640.0,경상남도,함양군,함양,27.732732732732735,48.82882882882883,12.023273273273274,6,17,경상남도,함양군,-21.096096096096097,15.709459459459461,-36.80555555555556
2753.0,12544.0,6561.0,24513.0,경상남도,산청군,산청,26.765389793170968,51.17284706074328,11.230775506873904,5,19,경상남도,산청군,-24.407457267572312,15.534614286297064,-39.942071553869376
4923.0,19976.0,11256.0,41325.0,경상남도,거창군,거창,27.237749546279495,48.338777979431335,11.912885662431941,6,16,경상남도,거창군,-21.10102843315184,15.324863883847554,-36.425892316999395
3077.0,19699.0,7143.0,33021.0,경상남도,합천군,합천,21.6316889252294,59.65597649980315,9.318312588958541,7,16,경상남도,합천군,-38.02428757457375,12.31337633627086,-50.33766391084461
55971.0,48027.0,125717.0,273163.0,제주특별자치도,제주시,제주,46.022704392615395,17.5818101280188,20.48996386772733,5,25,제주특별자치도,제주시,28.440894264596594,25.532740524888066,2.9081537397085278
21890.0,20036.0,43776.0,101296.0,제주특별자치도,서귀포시,서귀포,43.215921655346705,19.77965566261254,21.60993523929869,5,26,제주특별자치도,서귀포시,23.436265992734164,21.605986416048015,1.8302795766861486
42765.666666666664,33514.666666666664,79899.0,181259.0,경기도,부천시,부천 소사,44.08001809565319,18.489932453928727,23.593679026512707,2,4,경기도,소사구,25.59008564172446,20.48633906914048,5.1037465725839795
42765.666666666664,33514.666666666664,79899.0,181259.0,경기도,부천시,부천 오정,44.08001809565319,18.489932453928727,23.593679026512707,2,6,경기도,오정구,25.59008564172446,20.48633906914048,5.1037465725839795
42765.666666666664,33514.666666666664,79899.0,181259.0,경기도,부천시,부천 원미,44.08001809565319,18.489932453928727,23.593679026512707,2,5,경기도,원미구,25.59008564172446,20.48633906914048,5.1037465725839795
