11380-00050,다래어린이공원,어린이공원,서울특별시 은평구 응암동 115-55,"""서울특별시 은평구 응암동 751-22, 23""",37.587111,126.919033,584.9,,"""조합놀이대1, 그네1, 유아용조합놀이대1, 흔들놀이2""",,,,,서울특별시 은평구시설관리공단,02-350-5254,2017-07-12
11380-00051,구산동마을공원,기타,서울특별시 은평구 응암동 115-56,서울특별시 은평구 구산동  340-1,37.614762,126.907901,2811,,"""조합놀이대1, 모래놀이터1, 파이프놀이대3""",,,,,서울특별시 은평구시설관리공단,02-350-5254,2017-07-12
11380-00052,응암9구역어린이공원,어린이공원,서울특별시 은평구 응암동 115-57,서울특별시 은평구 응암동670-25외16필지,37.586731,126.923094,1217.8,,"""조합놀이대1, 경사놀이대1, 그네1, 시소1, 미끄럼틀1, 흔들놀이1, 유아놀이대1, 모래놀이시설7.1㎡""",,,,,서울특별시 은평구시설관리공단,02-350-5254,2017-07-12
11380-00053,구현초교앞마을마당,기타,서울특별시 은평구 응암동 115-58,서울특별시 은평구 구산동  산41-19,37.609251,126.906560,541,,,,,,,서울특별시 은평구시설관리공단,02-350-5254,2017-07-12
11380-00054,구산초교앞마을마당,기타,서울특별시 은평구 응암동 115-59,서울특별시 은평구 구산동  153-2,37.611787,126.909981,135,,조형물1,,,,,서울특별시 은평구시설관리공단,02-350-5254,2017-07-12
11380-00055,응암3동마을마당,기타,서울특별시 은평구 응암동 115-60,서울특별시 은평구 응암3동  337-52,37.588870,126.919615,518,,조형물4,,,,,서울특별시 은평구시설관리공단,02-350-5254,2017-07-12
11380-00056,응암2동마을마당,기타,서울특별시 은평구 응암동 115-61,서울특별시 은평구 응암2동  427-76,37.594288,126.919595,632,,유아용조합놀이대1,,,,,서울특별시 은평구시설관리공단,02-350-5254,2017-07-12
11380-00057,연신초교앞마을마당,기타,서울특별시 은평구 응암동 115-62,서울특별시 은평구 불광2동  69,37.626791,126.928717,711,,"""유아용조합놀이대1, 그네1""",,,,,서울특별시 은평구시설관리공단,02-350-5254,2017-07-12
11380-00058,구산동청사앞소공원,기타,서울특별시 은평구 응암동 115-63,서울특별시 은평구 구산동  27-7,37.611442,126.910162,335.9,,,,,,,서울특별시 은평구시설관리공단,02-350-5254,2017-07-12
11380-00059,구산동마을공원(확대),기타,서울특별시 은평구 응암동 115-64,서울특별시 은평구 구산동  345-6,37.614886,126.907774,157,,,,,,,서울특별시 은평구시설관리공단,02-350-5254,2017-07-12
